,Home Team,Scores,Away Team
0,Luton Town,0 1,Tottenham Hotspur
1,Sunderland,0 4,Middlesbrough
2,Oxford United,2 1,Bristol Rovers
3,Cadiz,0 1,Girona
4,Inter Milan,2 2,Bologna
5,Sheffield United Women,3 1,London City Lionesses
6,Cosenza,3 0,Lecco
7,Modena,0 2,Palermo
8,Reggiana,1 1,Bari
9,Südtirol,0 1,Catanzaro
10,1. FC Köln Ladies,4 1,MSV Duisburg Ladies
11,Eintracht Frankfurt Ladies,3 1,RB Leipzig Ladies
12,Greuther Furth,1 0,Hansa Rostock
13,Magdeburg,1 1,Karlsruher SC
14,SV Wehen Wiesbaden,1 1,Hamburg
15,Mezokovesd Zsory,1 2,Zalaegerszegi TE
16,Manchester United Women,2 2,Arsenal Women
17,Birmingham City,3 1,West Bromwich Albion
18,M'gladbach,2 2,Mainz
19,Athletic Bilbao,3 0,Almeria
20,Empoli,0 0,Udinese
21,Lecce,1 1,Sassuolo
22,Strasbourg,1 2,Nantes
23,Potters Bar Town,4 1,Berkhamsted
24,FC Volendam,1 0,FC Utrecht
25,Drogheda,0 0,Derry City
26,Shelbourne,1 0,Dundalk
27,Larne,1 1,Crusaders
28,Linfield,2 0,Glentoran
29,Saint-Etienne Féminines,0 1,Paris Saint-Germain Women
30,Ilves,3 2,AC Oulu
31,Cardiff Metropolitan University,2 1,Barry Town
32,Aberystwyth Town,1 1,Connah's Quay Nomads
33,Brescia,1 1,FeralpiSalò
34,Puskas FC,1 0,Kisvárda
35,Korona Kielce,1 1,Warta Poznan
36,Lech Poznan,4 1,Puszcza Niepolomic
37,Silkeborg,5 0,Lyngby BK
38,VfL Wolfsburg Women,1 0,Nürnberg Ladies
39,Fortuna Dusseldorf,1 1,VfL Osnabruck
40,Kaiserslautern,3 1,Hannover 96
41,Charleroi,2 1,RWDM
42,Moreirense,1 1,Boavista
43,Athlone,0 1,Bray Wanderers
44,Cobh Ramblers,2 0,Longford Town
45,Kerry,1 2,Wexford Youths
46,Treaty United,2 0,Finn Harps
47,AEK Athens,1 1,Ajax
48,Aris Limassol,2 1,Rangers
49,Backa Topola,2 2,Olympiakos FC
50,Marseille,2 2,Brighton and Hove Albion
51,Raków Czestochowa,0 1,Sturm Graz
52,Real Betis,2 1,Sparta Prague
53,SC Freiburg,1 2,West Ham United
54,Sporting Lisbon,1 2,Atalanta
55,Hacken,0 1,Qarabag FK
56,Liverpool,2 0,Union Saint-Gilloise
57,Maccabi Haifa,0 0,Panathinaikos
58,Molde,1 2,Bayer Leverkusen
59,Roma,4 0,Servette
60,Slavia Prague,6 0,Sheriff Tiraspol (Mol)
61,Toulouse,1 0,Linz ASK
62,Villarreal,1 0,Rennes
63,Celtic Women,2 1,Glasgow City
64,Astana,1 2,FC Viktoria Plzen
65,AA Gent,2 0,Maccabi Tel Aviv
66,Ballkani,2 0,Dinamo Zagreb
67,Besiktas,2 3,FC Lugano
68,Bodo/Glimt,0 1,Club Brugge
69,KI Klaksvík,0 0,Lille
70,Olimpija Ljubljana,0 1,SK Slovan Bratislava
71,Ungmennafelagid Breidablik,0 1,FC Zorya Luhansk
72,AZ Alkmaar,1 0,Legia Warsaw
73,Aberdeen,1 1,HJK Helsinki
74,Aston Villa,1 0,Zrinjski Mostar
75,Cukaricki Belgrade,0 2,Genk
76,FC Nordsjaelland,7 1,Ludogorets
77,FC Spartak Trnava,1 2,Fenerbahce
78,Fiorentina,2 2,Ferencvaros
79,PAOK Salonika,2 1,Eintracht Frankfurt
80,FC Barcelona Women,6 0,Valencia Femenino
81,CF Montréal,1 1,Houston Dynamo
82,Charlotte FC,3 0,Toronto FC
83,FC Cincinnati,1 2,New York Red Bulls
84,New England Revolution,1 2,Columbus Crew
85,Philadelphia Union,3 2,Atlanta United FC
86,Austin FC,3 0,D.C. United
87,Chicago Fire,4 1,Inter Miami CF
88,Nashville SC,0 1,Orlando City SC
89,Los Angeles Football Club,5 1,Minnesota United FC
90,Seattle Sounders FC,2 1,Los Angeles Galaxy
91,Vancouver Whitecaps,3 0,St. Louis City SC
92,Antwerp,2 3,Shakhtar Donetsk
93,Atletico Madrid,3 2,Feyenoord
94,Borussia Dortmund,0 0,AC Milan
95,Celtic,1 2,Lazio
96,Crvena Zvezda,2 2,BSC Young Boys Bern
97,FC Porto,0 1,Barcelona
98,Newcastle United,4 1,Paris Saint-Germain
99,RB Leipzig,1 3,Manchester City
100,Coventry City,1 0,Blackburn Rovers
101,Leeds United,1 0,Queens Park Rangers
102,Leicester City,3 0,Preston North End
103,Sunderland,2 0,Watford
104,Swansea City,2 1,Norwich City
105,Rotherham United,1 2,Bristol City
106,Boreham Wood,1 0,Hartlepool United
